Object_Name,Available_Count,Detected_Total_Count,Date,Session

chair,4,1,2024-09-16,FN
keyboard,20,6,2024-09-16,FN
mouse,16,7,2024-09-16,FN
tvmonitor,32,9,2024-09-16,FN
chair,4,1,2024-09-16,FN
keyboard,20,6,2024-09-16,FN
mouse,16,7,2024-09-16,FN
tvmonitor,32,9,2024-09-16,FN
